frame_id,t_mono_ms,video_frame,rgb_path,depth_path,has_depth,depth_rtt_ms,depth_age_ms,pad_id,pos_x_cm,pos_y_cm,pos_z_cm,yaw_deg,height_cm,vgx,vgy,vgz,pitch_deg,roll_deg,bat_pct,act_roll,act_pitch,act_throttle,act_yaw,ctrl_state,near_left,near_mid,near_right,wander_state,wander_event
1,0,0,,depth/000001.npy,1,164.4,275.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2863,0.4197,0.3687,,
2,118,1,,depth/000002.npy,1,139.6,288.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2863,0.4197,0.3726,,
3,243,2,,depth/000003.npy,1,134.4,179.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2823,0.4197,0.3667,,
4,365,3,,depth/000004.npy,1,136.8,202.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2903,0.4275,0.3647,,
5,489,4,,depth/000005.npy,1,135.5,193.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2863,0.4236,0.3687,,
6,616,5,,depth/000006.npy,1,130.4,186.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2823,0.4236,0.3647,,
7,740,6,,depth/000006.npy,1,130.4,311.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,92.0,0,0,0,0,HOVER,0.2823,0.4236,0.3647,,
8,862,7,,depth/000008.npy,1,137.0,258.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2864,0.4197,0.3687,,
9,986,8,,depth/000009.npy,1,137.0,252.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2843,0.4197,0.3687,,
10,1111,9,,depth/000010.npy,1,139.3,281.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2843,0.4197,0.3687,,
11,1231,10,,depth/000011.npy,1,141.3,211.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2843,0.4158,0.3687,,
12,1357,11,,depth/000012.npy,1,141.0,258.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2843,0.4158,0.3687,,
13,1477,12,,depth/000013.npy,1,144.2,224.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,0.0,91.0,-40,0,0,0,MANUAL,0.2903,0.4275,0.3687,,
14,1607,13,,depth/000014.npy,1,147.6,180.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,0.0,91.0,-40,0,0,0,MANUAL,0.2843,0.4275,0.3726,,
15,1733,14,,depth/000014.npy,1,147.6,301.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,-1.0,91.0,0,0,0,0,HOVER,0.2843,0.4275,0.3726,,
16,1849,15,,depth/000016.npy,1,147.4,352.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,-3.0,91.0,0,0,0,0,HOVER,0.2864,0.4236,0.3687,,
17,1971,16,,depth/000017.npy,1,144.8,313.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,-1.0,0.0,0.0,0.0,-2.0,91.0,0,0,0,0,HOVER,0.2883,0.4275,0.3726,,
18,2077,17,,depth/000018.npy,1,142.8,248.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,-1.0,1.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2843,0.4236,0.3687,,
19,2192,18,,depth/000019.npy,1,150.1,197.6,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,1.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2804,0.4236,0.3647,,
20,2316,19,,depth/000019.npy,1,150.1,318.3,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,0.0,0.0,0.0,0.0,91.0,0,0,0,0,HOVER,0.2804,0.4236,0.3647,,
21,2433,20,,depth/000021.npy,1,143.4,309.6,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,2.0,91.0,0,0,0,0,HOVER,0.2864,0.4275,0.3491,,
22,2558,21,,depth/000022.npy,1,143.7,301.2,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,2.0,91.0,0,0,0,0,HOVER,0.2864,0.4353,0.3569,,
23,2677,22,,depth/000023.npy,1,140.6,215.5,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,-1.0,1.0,91.0,-40,0,0,0,MANUAL,0.2903,0.4353,0.3511,,
24,2794,23,,depth/000024.npy,1,143.9,266.6,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,-1.0,0.0,90.0,-40,0,0,0,MANUAL,0.2903,0.4314,0.3452,,
25,2912,24,,depth/000025.npy,1,139.6,224.0,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,-1.0,0.0,90.0,-40,0,0,0,MANUAL,0.2903,0.4275,0.3491,,
26,3040,25,,depth/000025.npy,1,139.6,349.8,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,-1.0,-2.0,90.0,0,0,0,0,HOVER,0.2903,0.4275,0.3491,,
27,3162,26,,depth/000027.npy,1,148.3,303.9,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,-3.0,90.0,0,0,0,0,HOVER,0.2903,0.4275,0.353,,
28,3279,27,,depth/000028.npy,1,141.7,248.5,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,1.0,0.0,0.0,-1.0,90.0,0,0,0,0,HOVER,0.2864,0.4236,0.3569,,
29,3395,28,,depth/000029.npy,1,145.7,267.5,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,1.0,0.0,-1.0,0.0,90.0,0,0,0,0,HOVER,0.2883,0.4275,0.3491,,
30,3519,29,,depth/000030.npy,1,140.9,225.1,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,1.0,0.0,-1.0,0.0,90.0,0,0,0,0,HOVER,0.2903,0.4275,0.3491,,
31,3642,30,,depth/000031.npy,1,143.1,181.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,-1.0,0.0,0.0,-1.0,0.0,90.0,40,0,0,0,MANUAL,0.2903,0.4158,0.3411,,
32,3765,31,,depth/000032.npy,1,146.2,233.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,2.0,90.0,40,0,0,0,MANUAL,0.2843,0.408,0.3372,,
33,3889,32,,depth/000032.npy,1,146.2,359.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,3.0,90.0,40,0,0,0,MANUAL,0.2843,0.408,0.3372,,
34,4013,33,,depth/000034.npy,1,146.1,302.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,4.0,90.0,0,0,0,0,HOVER,0.2903,0.4119,0.3411,,
35,4126,34,,depth/000035.npy,1,144.1,264.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,4.0,90.0,0,0,0,0,HOVER,0.2942,0.408,0.3411,,
36,4238,35,,depth/000036.npy,1,145.4,208.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,1.0,0.0,0.0,0.0,2.0,90.0,0,0,0,0,HOVER,0.2903,0.4038,0.3333,,
37,4360,36,,depth/000037.npy,1,145.0,256.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,1.0,-1.0,0.0,-1.0,0.0,90.0,0,0,0,0,HOVER,0.2883,0.4059,0.3372,,
38,4481,37,,depth/000037.npy,1,145.0,372.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,1.0,-1.0,0.0,-1.0,0.0,90.0,0,0,0,0,HOVER,0.2883,0.4059,0.3372,,
39,4595,38,,depth/000039.npy,1,143.2,299.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,1.0,0.0,0.0,-1.0,0.0,90.0,0,0,0,0,HOVER,0.2903,0.4119,0.3452,,
40,4720,39,,depth/000040.npy,1,136.7,289.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,-2.0,90.0,0,0,0,0,HOVER,0.2883,0.4158,0.3452,,
41,4835,40,,depth/000041.npy,1,136.2,296.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,-2.0,89.0,0,0,0,0,HOVER,0.2942,0.4275,0.3491,,
42,4953,41,,depth/000042.npy,1,136.8,245.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,-1.0,89.0,0,0,0,0,HOVER,0.2903,0.4314,0.3452,,
43,5068,42,,depth/000043.npy,1,142.0,204.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,-1.0,-1.0,89.0,0,0,0,0,HOVER,0.2903,0.4314,0.353,,
44,5184,43,,depth/000043.npy,1,142.0,324.6,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0,89.0,-40,0,0,0,MANUAL,0.2903,0.4314,0.353,,
45,5300,44,,depth/000045.npy,1,149.0,311.8,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,-1.0,89.0,-40,0,0,0,MANUAL,0.2864,0.4314,0.3491,,
46,5421,45,,depth/000046.npy,1,149.6,261.5,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,-2.0,89.0,-40,0,0,0,MANUAL,0.2922,0.4392,0.3491,,
47,5542,46,,depth/000047.npy,1,146.9,249.8,-1.0,-100.0,-100.0,-100.0,53.0,80.0,0.0,0.0,0.0,0.0,-4.0,89.0,0,0,0,0,HOVER,0.2843,0.4314,0.3491,,
48,5663,47,,depth/000048.npy,1,144.1,234.9,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,0.0,0.0,0.0,-3.0,89.0,0,0,0,0,HOVER,0.2883,0.4314,0.3491,,
49,5784,48,,depth/000049.npy,1,139.9,199.3,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,0.0,0.0,0.0,-3.0,89.0,0,0,0,0,HOVER,0.2903,0.4353,0.3491,,
50,5886,49,,depth/000049.npy,1,139.9,297.0,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,0.0,0.0,0.0,-1.0,89.0,0,0,0,0,HOVER,0.2903,0.4353,0.3491,,
51,6004,50,,depth/000051.npy,1,149.4,307.2,-1.0,-100.0,-100.0,-100.0,53.0,80.0,-1.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2843,0.4353,0.3569,,
52,6109,51,,depth/000052.npy,1,145.2,248.1,-1.0,-100.0,-100.0,-100.0,53.0,70.0,-1.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
53,6222,52,,depth/000053.npy,1,149.1,202.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,-1.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2922,0.4236,0.3491,,
54,6343,53,,depth/000053.npy,1,149.1,314.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,3.0,89.0,0,0,0,0,HOVER,0.2922,0.4236,0.3491,,
55,6464,54,,depth/000055.npy,1,148.7,303.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2922,0.4216,0.3333,,
56,6572,55,,depth/000056.npy,1,152.1,244.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2961,0.4158,0.3333,,
57,6681,56,,depth/000057.npy,1,153.4,198.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,HOVER,0.2961,0.4158,0.3372,,
58,6807,57,,depth/000057.npy,1,153.4,319.4,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2961,0.4158,0.3372,,
59,6911,58,,depth/000059.npy,1,167.6,281.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4158,0.3411,,
60,7030,59,,depth/000060.npy,1,157.0,237.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4236,0.3411,,
61,7150,60,,depth/000061.npy,1,155.3,195.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4197,0.3411,,
62,7273,61,,depth/000061.npy,1,155.3,312.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4197,0.3411,,
63,7394,62,,depth/000063.npy,1,154.6,363.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4197,0.3411,,
64,7503,63,,depth/000064.npy,1,147.8,310.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.302,0.4275,0.3491,,
65,7611,64,,depth/000065.npy,1,152.8,191.3,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4314,0.3452,,
66,7724,65,,depth/000065.npy,1,152.8,301.0,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4314,0.3452,,
67,7843,66,,depth/000067.npy,1,149.8,315.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2922,0.4314,0.3452,,
68,7962,67,,depth/000068.npy,1,149.1,251.2,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4294,0.3491,,
69,8084,68,,depth/000069.npy,1,144.7,225.8,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
70,8208,69,,depth/000070.npy,1,143.6,179.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4294,0.3491,,
71,8332,70,,depth/000071.npy,1,142.0,227.7,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
72,8456,71,,depth/000071.npy,1,142.0,350.9,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4314,0.3491,,
73,8575,72,,depth/000073.npy,1,146.6,285.6,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2903,0.4275,0.3452,,
74,8697,73,,depth/000074.npy,1,145.6,263.5,-1.0,-100.0,-100.0,-100.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,88.0,0,0,0,0,HOVER,0.2942,0.4314,0.3491,,
